"title","address","info","totalPrice","totalSellCount","unitPrice"
"花市东三条","东城
       东花市 
              /板楼
                  / 1970年建成","30天成交0套
      |1套正在出租","89577元/m2","1套",""
"广渠门外南街","东城
       广渠门 
              /板楼/塔板结合
                  / 1991年建成","30天成交1套
      |1套正在出租","90072元/m2","3套",""
"长青园","东城
       左安门 
              /板楼/塔板结合
                  / 1988年建成","30天成交0套
      |4套正在出租","90100元/m2","9套",""
"元嘉国际公寓","东城
       东直门 
              /塔楼
                  / 2003年建成","30天成交0套
      |1套正在出租","90344元/m2","4套",""
"左安漪园","东城
       左安门 
              /塔楼/板楼/塔板结合
                  / 2004年建成","30天成交0套
      |8套正在出租","90437元/m2","5套",""
"西四块玉","东城
       左安门 
              /板楼
                  / 1960年建成","30天成交0套
      |0套正在出租","90550元/m2","2套",""
"贡院九号","东城
       建国门内 
              /塔楼/塔板结合
                  / 2000年建成","30天成交0套
      |4套正在出租","90633元/m2","13套",""
"金世纪嘉园","东城
       广渠门 
              /塔楼/塔板结合
                  / 2003年建成","30天成交0套
      |6套正在出租","90871元/m2","21套",""
"东花市北里西区","东城
       东花市 
              /板楼
                  / 1990年建成","30天成交0套
      |2套正在出租","91017元/m2","7套",""
"白桥大街","东城
       东花市 
              /板楼/塔板结合
                  / 1980年建成","30天成交0套
      |1套正在出租","91136元/m2","2套",""
"宝轩大厦","东城
       东花市 
              /板楼
                  / 1998年建成","30天成交1套
      |0套正在出租","91222元/m2","1套",""
"永定门东街东里","东城
       天坛 
              /板楼/塔板结合
                  / 1970年建成","30天成交0套
      |2套正在出租","91294元/m2","1套",""
"远洋德邑","东城
       广渠门 
              /塔楼/板楼/塔板结合
                  / 2002年建成","30天成交1套
      |5套正在出租","91754元/m2","13套",""
"王家园胡同","东城
       朝阳门外 
              /板楼
                  / 1998年建成","30天成交0套
      |0套正在出租","91895元/m2","0套",""
"永定门东街西里","东城
       天坛 
              /板楼/塔板结合
                  / 1970年建成","30天成交0套
      |1套正在出租","92139元/m2","1套",""
"金桥国际","东城
       广渠门 
              /塔楼/塔板结合
                  / 2004年建成","30天成交0套
      |8套正在出租","92243元/m2","24套",""
"琉璃井东街","东城
       永定门 
              /板楼
                  / 1980年建成","共26个户型
        |
            30天成交0套
      |2套正在出租","92266元/m2","2套",""
"金鱼胡同","东城
       灯市口 
              /板楼/平房
                  / 1958年建成","30天成交0套
      |0套正在出租","92293元/m2","0套",""
"李村东里","东城
       永定门 
              /板楼
                  / 1970年建成","30天成交0套
      |0套正在出租","92385元/m2","3套",""
"东四块玉南街30号院","东城
       左安门 
              /板楼
                  / 1980年建成","30天成交0套
      |0套正在出租","92596元/m2","0套",""
"京城仁合","东城
       广渠门 
              /板楼/塔板结合
                  / 2002年建成","30天成交0套
      |1套正在出租","92599元/m2","9套",""
"工体西路","东城
       工体 
              /板楼
                  / 1992年建成","30天成交0套
      |0套正在出租","93340元/m2","1套",""
"国瑞城西区","东城
       崇文门 
              /塔楼
                  / 2008年建成","30天成交2套
      |6套正在出租","93351元/m2","19套",""
"北京上舍","东城
       广渠门 
              /塔楼/板楼
                  / 2008年建成","30天成交0套
      |1套正在出租","93749元/m2","10套",""
"东花市北里中区","东城
       东花市 
              /塔楼/板楼
                  / 1990年建成","30天成交1套
      |9套正在出租","93816元/m2","23套",""
"永定门东街中里","东城
       天坛 
              /板楼
                  / 1970年建成","30天成交0套
      |1套正在出租","94228元/m2","3套",""
"天坛东里","东城
       天坛 
              /板楼
                  / 1980年建成","30天成交0套
      |0套正在出租","94298元/m2","1套",""
"东直门外小街8号院","东城
       东直门 
              /板楼
                  / 1995年建成","30天成交0套
      |0套正在出租","94384元/m2","2套",""
"瑞士公寓","东城
       朝阳门外 
              /板楼
                  / 2007年建成","30天成交0套
      |4套正在出租","94431元/m2","2套",""
"东四块玉南街2号院","东城
       左安门 
              /塔楼
                  / 1980年建成","30天成交0套
      |0套正在出租","94572元/m2","2套",""
"雅安国际公寓","东城
       建国门内 
              /塔楼
                  / 2005年建成","30天成交0套
      |0套正在出租","94696元/m2","3套",""
"雍和家园二期","东城
       和平里 
              /板楼
                  / 2005年建成","30天成交0套
      |3套正在出租","94773元/m2","1套",""
"东四块玉北街","东城
       左安门 
              /板楼
                  / 1990年建成","30天成交0套
      |3套正在出租","94914元/m2","2套",""
"香河园街","东城
       东直门 
              /塔楼
                  / 1990年建成","30天成交0套
      |0套正在出租","94920元/m2","0套",""
"双玉中街","东城
       左安门 
              /板楼
                  / 1980年建成","30天成交0套
      |0套正在出租","95105元/m2","1套",""
"体育馆路13号","东城
       崇文门 
              /塔板结合
                  / 1950年建成","30天成交0套
      |1套正在出租","95111元/m2","2套",""
"京禧阁","东城
       广渠门 
              /塔楼
                  / 2013年建成","30天成交0套
      |3套正在出租","95197元/m2","1套",""
"中国强胡同","东城
       东花市 
              /板楼/塔板结合
                  / 1956年建成","30天成交0套
      |0套正在出租","95199元/m2","1套",""
"左安溪园","东城
       左安门 
              /塔板结合
                  / 2007年建成","共31个户型
        |
            30天成交0套
      |0套正在出租","95243元/m2","1套",""
"幸福南里","东城
       广渠门 
              /板楼/塔板结合
                  / 1953年建成","30天成交0套
      |1套正在出租","95522元/m2","3套",""
"天坛东里中区","东城
       天坛 
              /板楼/塔板结合
                  / 1970年建成","30天成交1套
      |1套正在出租","95603元/m2","4套",""
"盛德紫阙","东城
       和平里 
              /板楼/塔板结合
                  / 1996年建成","30天成交0套
      |1套正在出租","95874元/m2","25套",""
"体育馆西路甲53号院","东城
       左安门 
              /板楼/塔板结合
                  / 1980年建成","30天成交0套
      |0套正在出租","95926元/m2","0套",""
"东环居苑","东城
       广渠门 
              /塔楼
                  / 2003年建成","共154个户型
        |
            30天成交2套
      |9套正在出租","96191元/m2","7套",""
"铂晶豪庭","东城
       工体 
              /塔楼
                  / 2011年建成","30天成交0套
      |1套正在出租","96261元/m2","0套",""
"体育馆西路2号院","东城
       崇文门 
              /板楼
                  / 1990年建成","30天成交0套
      |0套正在出租","96362元/m2","0套",""
"东水井胡同","东城
       朝阳门内 
              /塔楼
                  / 2003年建成","30天成交0套
      |0套正在出租","96416元/m2","1套",""
"天坛南里西区","东城
       天坛 
              /板楼/塔板结合
                  / 1980年建成","30天成交0套
      |0套正在出租","96547元/m2","1套",""
"东河沿","东城
       崇文门 
              /板楼
                  / 1990年建成","30天成交0套
      |0套正在出租","96837元/m2","0套",""
"东四块玉南街","东城
       左安门 
              /板楼
                  / 1980年建成","30天成交0套
      |1套正在出租","96906元/m2","4套",""
"复康南里","东城
       天坛 
              /板楼
                  / 1979年建成","30天成交0套
      |0套正在出租","97178元/m2","2套",""
"板厂新里","东城
       广渠门 
              /塔楼/板楼
                  / 1976年建成","30天成交0套
      |0套正在出租","97203元/m2","0套",""
"宝珠子胡同","东城
       建国门内 
              /板楼/平房
                  / 1988年建成","30天成交0套
      |0套正在出租","97455元/m2","0套",""
"富贵园三区","东城
       东花市 
              /塔楼/板楼/塔板结合
                  / 2002年建成","共150个户型
        |
            30天成交0套
      |3套正在出租","97509元/m2","12套",""
"东营房八条","东城
       朝阳门外 
              /板楼/平房
                  / 1980年建成","30天成交0套
      |0套正在出租","97652元/m2","1套",""
"中景濠庭","东城
       安定门 
              /塔楼
                  / 2001年建成","共34个户型
        |
            30天成交1套
      |0套正在出租","97693元/m2","0套",""
"丹耀大厦","东城
       东单 
              /塔楼
                  / 2002年建成","30天成交0套
      |1套正在出租","97812元/m2","1套",""
"和平新城二期","东城
       和平里 
              /板楼
                  / 2005年建成","30天成交0套
      |0套正在出租","98113元/m2","0套",""
"法华南里","东城
       崇文门 
              /塔楼/板楼
                  / 1990年建成","30天成交1套
      |4套正在出租","98163元/m2","14套",""
"三秀涵雅","东城
       安定门 
              /塔楼
                  / 2000年建成","30天成交1套
      |0套正在出租","98173元/m2","1套",""
"朝阳门内大街","东城
       朝阳门内 
              /板楼/平房
                  / 1958年建成","30天成交0套
      |1套正在出租","98346元/m2","7套",""
"万国城MOMA","东城
       东直门 
              /塔楼/板楼/塔板结合
                  / 2002年建成","共281个户型
        |
            30天成交0套
      |15套正在出租","98352元/m2","21套",""
"东直门内北小街16号","东城
       东直门 
              /塔板结合
                  / 2003年建成","共32个户型
        |
            30天成交0套
      |1套正在出租","98689元/m2","2套",""
"潘家坡胡同2号院","东城
       朝阳门外 
              /板楼
                  / 1987年建成","30天成交0套
      |0套正在出租","98972元/m2","0套",""
"东高房胡同","东城
       东四 
              /板楼
                  / 1958年建成","30天成交0套
      |0套正在出租","99109元/m2","0套",""
"北岗子街","东城
       崇文门 
              /板楼
                  / 1970年建成","30天成交0套
      |0套正在出租","99119元/m2","1套",""
"阳光都市","东城
       工体 
              /塔楼
                  / 2000年建成","30天成交0套
      |5套正在出租","99496元/m2","10套",""
"东直门外斜街","东城
       东直门 
              /塔楼
                  / 1988年建成","共14个户型
        |
            30天成交1套
      |0套正在出租","99562元/m2","1套",""
"校尉胡同","东城
       东单 
              /板楼
                  / 1989年建成","30天成交0套
      |0套正在出租","99749元/m2","0套",""
"贡院六号","东城
       建国门内 
              /塔楼/塔板结合
                  / 2002年建成","30天成交0套
      |2套正在出租","99826元/m2","1套",""
"光明中街","东城
       广渠门 
              /板楼
                  / 1991年建成","30天成交0套
      |0套正在出租","99882元/m2","1套",""
"广渠家园","东城
       广渠门 
              /塔楼/板楼/塔板结合
                  / 2009年建成","共307个户型
        |
            30天成交3套
      |10套正在出租","99891元/m2","25套",""
"华府景园","东城
       安定门 
              /塔板结合
                  / 2001年建成","30天成交1套
      |0套正在出租","100027元/m2","3套",""
"育树四条","东城
       东直门 
              /板楼
                  / 1983年建成","30天成交0套
      |0套正在出租","100092元/m2","0套",""
"双玉中街43号院","东城
       左安门 
              /板楼
                  / 1980年建成","30天成交1套
      |0套正在出租","100159元/m2","1套",""
"建国门南大街","东城
       建国门外 
              /塔楼/塔板结合
                  / 1986年建成","30天成交0套
      |0套正在出租","100225元/m2","1套",""
"草厂头条7号院","东城
       崇文门 
              /板楼
                  / 1992年建成","30天成交0套
      |0套正在出租","100337元/m2","0套",""
"崇文门东大街","东城
       崇文门 
              /塔楼/板楼/塔板结合
                  / 1970年建成","共140个户型
        |
            30天成交0套
      |14套正在出租","100389元/m2","6套",""
"东花市大街2号院","东城
       东花市 
              /板楼
                  / 1980年建成","共28个户型
        |
            30天成交0套
      |0套正在出租","100495元/m2","1套",""
"南水关","东城
       广渠门 
              /板楼/塔板结合
                  / 1975年建成","30天成交0套
      |0套正在出租","100503元/m2","3套",""
"沙滩北街乙2号院","东城
       东四 
              /板楼
                  / 1958年建成","30天成交0套
      |1套正在出租","100654元/m2","1套",""
